ZZ_APP_ID,ZZ_CIN_ID,ZZ_ACCT_ID,applic_date,transaction_type,transaction_amount,transaction_narrative,PrimaryCategoryDescription,SubCategoryDescription,VendorDescription,RecurrenceEventId,RecurrenceType,merchant_MCC,TRANSACTION_DATE,trans_id_app,Segment,ZZ_JOINT,CIN_M_OR_J,appsubject,cancelled_transaction,trans_id_cin,card_type,Deb_Cred_Flag,Transaction_Description2,MCC_1,MCC_Plus,MCC_AS,MCC_Label,PrimaryCategory_MCC_AS,SubCategory_MCC_AS,Enhance_PrimaryCategory,Enhance_SubCategory
10195,100028,10000134,28/11/2016,INT TO,-4.31,20OCT A/C 71549293,Bank Charges and Returns,Interest Charge,,17995774,SecondDayOfType,,10/11/2015,10195|000017,Segment2_MTG,1,M,1,,,,Debit,20OCT A/C 71549293,,Uncategorized MCC code,Unavailable MCC code,,Unavailable MCC code,,Bank Charges and Returns,Interest Charge
10195,100028,10000134,28/11/2016,D/D,-41.95,GRAVESHAM COMMUNIT,Misc Regular Payments,,,17995777,FirstWorkingDay,,01/12/2015,10195|000033,Segment2_MTG,1,M,1,,,,Debit,GRAVESHAM COMMUNIT,,Uncategorized MCC code,Unavailable MCC code,,Unavailable MCC code,,Misc Regular Payments,
10195,100028,10000134,28/11/2016,BAC,721.4,DOCK CLIENT,Identified Salary,,,,,,23/12/2015,10195|000049,Segment2_MTG,1,M,1,,,,Credit,DOCK CLIENT,,Uncategorized MCC code,Unavailable MCC code,,Unavailable MCC code,,Identified Salary,
10195,100028,10000134,28/11/2016,D/D,-189.61,SHAWBROOK,Financial Services,Personal Loans,Shawbrook,17995775,Monthly,,20/10/2016,10195|000300,Segment2_MTG,1,M,1,,,,Debit,SHAWBROOK,,Uncategorized MCC code,Unavailable MCC code,,Unavailable MCC code,,Financial Services,Personal Loans
10195,100028,10000134,28/11/2016,D/D,-192,GRAVESHAM BOROUGH,Misc Regular Payments,,,17995773,Monthly,,03/06/2016,10195|000181,Segment2_MTG,1,M,1,,,,Debit,GRAVESHAM BOROUGH,,Uncategorized MCC code,Unavailable MCC code,,Unavailable MCC code,,Misc Regular Payments,
10195,100028,10000134,28/11/2016,D/D,-185,GRAVESHAM BOROUGH,Misc Regular Payments,,,17995773,Monthly,,03/11/2015,10195|000009,Segment2_MTG,1,M,1,,,,Debit,GRAVESHAM BOROUGH,,Uncategorized MCC code,Unavailable MCC code,,Unavailable MCC code,,Misc Regular Payments,
10195,100028,10000134,28/11/2016,DPC,20,CALL REF.NO. 0000,Transfers / Other,Bank Transfer,,17995776,Monthly,,25/11/2015,10195|000025,Segment2_MTG,1,M,1,,,,Credit,CALL REF.NO. 0000,,Uncategorized MCC code,Unavailable MCC code,,Unavailable MCC code,,Transfers / Other,Bank Transfer
10195,100028,10000134,28/11/2016,D/D,-185,GRAVESHAM BOROUGH,Misc Regular Payments,,,17995773,Monthly,,03/12/2015,10195|000041,Segment2_MTG,1,M,1,,,,Debit,GRAVESHAM BOROUGH,,Uncategorized MCC code,Unavailable MCC code,,Unavailable MCC code,,Misc Regular Payments,
10195,100028,10000134,28/11/2016,BAC,2400,REASON A M    CD,Transfers / Other,,,17995779,Monthly,,26/10/2016,10195|000308,Segment2_MTG,1,M,1,,,,Credit,REASON A M    CD,,Uncategorized MCC code,Unavailable MCC code,,Unavailable MCC code,,Transfers / Other,
10195,100028,10000134,28/11/2016,D/D,-1219.46,HALIFAX,Rent and Mortgage,Banks And Building Societies,Halifax,17995772,FirstWorkingDay,,01/06/2016,10195|000173,Segment2_MTG,1,M,1,,,,Debit,HALIFAX,,Uncategorized MCC code,Unavailable MCC code,,Unavailable MCC code,,Rent and Mortgage,Banks And Building Societies
10195,100028,10000134,28/11/2016,BAC,499.6,DOCK CLIENT,Identified Salary,,,17995778,Monthly,,20/06/2016,10195|000189,Segment2_MTG,1,M,1,,,,Credit,DOCK CLIENT,,Uncategorized MCC code,Unavailable MCC code,,Unavailable MCC code,,Identified Salary,
10195,100028,10000134,28/11/2016,DPC,30,CALL REF.NO. 0000,Transfers / Other,Bank Transfer,,,,,24/10/2016,10195|000304,Segment2_MTG,1,M,1,,,,Credit,CALL REF.NO. 0000,,Uncategorized MCC code,Unavailable MCC code,,Unavailable MCC code,,Transfers / Other,Bank Transfer
10195,100028,10000134,28/11/2016,DPC,200,CALL REF.NO. 0000,Transfers / Other,Bank Transfer,,,,,10/06/2016,10195|000185,Segment2_MTG,1,M,1,,,,Credit,CALL REF.NO. 0000,,Uncategorized MCC code,Unavailable MCC code,,Unavailable MCC code,,Transfers / Other,Bank Transfer
10195,100028,10000134,28/11/2016,POS -,-25,AMERICAN EXPRESS BRIGHTON,Financial Services,Credit Cards,American Express,17995783,Monthly,6012,30/06/2016,10195|000197,Segment2_MTG,1,M,1,,,,Debit,AMERICAN EXPRESS BRIGHTON,6012,Financial Services,Financial Services|,FINANCIAL INSTITUTIONS – MERCHANDISE AND SERVICES,Financial Services,,Financial Services,Credit Cards
10195,100028,10000134,28/11/2016,D/D,-58.7,IKANO BANK AB,Financial Services,Personal Loans,Ikano Bank,,,,22/07/2016,10195|000213,Segment2_MTG,1,M,1,,,,Debit,IKANO BANK AB,,Uncategorized MCC code,Unavailable MCC code,,Unavailable MCC code,,Financial Services,Personal Loans
10195,100028,10000134,28/11/2016,D/D,-192,GRAVESHAM BOROUGH,Misc Regular Payments,,,17995773,Monthly,,03/08/2016,10195|000229,Segment2_MTG,1,M,1,,,,Debit,GRAVESHAM BOROUGH,,Uncategorized MCC code,Unavailable MCC code,,Unavailable MCC code,,Misc Regular Payments,
10195,100028,10000134,28/11/2016,CHG,-6,ARRANGED OD USAGE,Bank Charges and Returns,Account Charges,,17995785,SecondDayOfType,,08/01/2016,10195|000065,Segment2_MTG,1,M,1,,,,Debit,ARRANGED OD USAGE,,Uncategorized MCC code,Unavailable MCC code,,Unavailable MCC code,,Bank Charges and Returns,Account Charges
10195,100028,10000134,28/11/2016,DPC,-850,CALL REF.NO. 0404,Transfers / Other,Bank Transfer,,,,,01/02/2016,10195|000081,Segment2_MTG,1,M,1,,,,Debit,CALL REF.NO. 0404,,Uncategorized MCC code,Unavailable MCC code,,Unavailable MCC code,,Transfers / Other,Bank Transfer
10195,100028,10000134,28/11/2016,BAC,57.65,MYREWARDS,Interest,,LOYALTY REWARD,,,,11/07/2016,10195|000209,Segment2_MTG,1,M,1,,,,Credit,MYREWARDS,,Uncategorized MCC code,Unavailable MCC code,,Unavailable MCC code,,Interest,
10195,100028,10000134,28/11/2016,D/D,-43.25,GRAVESHAM COMMUNIT,Misc Regular Payments,,,17995777,FirstWorkingDay,,01/08/2016,10195|000225,Segment2_MTG,1,M,1,,,,Debit,GRAVESHAM COMMUNIT,,Uncategorized MCC code,Unavailable MCC code,,Unavailable MCC code,,Misc Regular Payments,
10195,100028,10000134,28/11/2016,D/D,-71,SOUTHERN ELECTRIC,Utilities,Energy Providers,Southern Electric,17995786,FirstWorkingDay,,04/01/2016,10195|000061,Segment2_MTG,1,M,1,,,,Debit,SOUTHERN ELECTRIC,,Uncategorized MCC code,Unavailable MCC code,,Unavailable MCC code,,Utilities,Energy Providers
10195,100028,10000134,28/11/2016,DPC,-107.84,ACC-NWESTBLACK,Transfers / Other,Bank Transfer,,,,,29/01/2016,10195|000077,Segment2_MTG,1,M,1,,,,Debit,ACC-NWESTBLACK,,Uncategorized MCC code,Unavailable MCC code,,Unavailable MCC code,,Transfers / Other,Bank Transfer
10195,100028,10000134,28/11/2016,D/D,-192,GRAVESHAM BOROUGH,Misc Regular Payments,,,17995773,Monthly,,04/07/2016,10195|000205,Segment2_MTG,1,M,1,,,,Debit,GRAVESHAM BOROUGH,,Uncategorized MCC code,Unavailable MCC code,,Unavailable MCC code,,Misc Regular Payments,
10195,100028,10000134,28/11/2016,D/D,-59.52,DIRECT LINE INS,Insurance,General Insurance,Direct Line,17995788,FirstWorkingDay,,01/08/2016,10195|000221,Segment2_MTG,1,M,1,,,,Debit,DIRECT LINE INS,,Uncategorized MCC code,Unavailable MCC code,,Unavailable MCC code,,Insurance,General Insurance
10195,100028,10000134,28/11/2016,D/D,-59.52,DIRECT LINE INS,Insurance,General Insurance,Direct Line,17995788,FirstWorkingDay,,04/01/2016,10195|000057,Segment2_MTG,1,M,1,,,,Debit,DIRECT LINE INS,,Uncategorized MCC code,Unavailable MCC code,,Unavailable MCC code,,Insurance,General Insurance
10195,100028,10000134,28/11/2016,D/D,-51.27,LVIC BUDGET ACC,Insurance,Motor Insurance,Liverpool Victoria Insurance Company Ltd,17995790,Monthly,,26/01/2016,10195|000073,Segment2_MTG,1,M,1,,,,Debit,LVIC BUDGET ACC,,Uncategorized MCC code,Unavailable MCC code,,Unavailable MCC code,,Insurance,Motor Insurance
10195,100028,10000134,28/11/2016,CHG,-6,ARRANGED OD USAGE,Bank Charges and Returns,Account Charges,,17995785,SecondDayOfType,,10/02/2016,10195|000089,Segment2_MTG,1,M,1,,,,Debit,ARRANGED OD USAGE,,Uncategorized MCC code,Unavailable MCC code,,Unavailable MCC code,,Bank Charges and Returns,Account Charges
10195,100028,10000134,28/11/2016,D/D,-71,SOUTHERN ELECTRIC,Utilities,Energy Providers,Southern Electric,17995786,FirstWorkingDay,,01/07/2016,10195|000201,Segment2_MTG,1,M,1,,,,Debit,SOUTHERN ELECTRIC,,Uncategorized MCC code,Unavailable MCC code,,Unavailable MCC code,,Utilities,Energy Providers
10195,100028,10000134,28/11/2016,D/D,-28.19,BT GROUP PLC,Utilities,"Internet, TV and Phone",BT,,,,25/07/2016,10195|000217,Segment2_MTG,1,M,1,,,,Debit,BT GROUP PLC,,Uncategorized MCC code,Unavailable MCC code,,Unavailable MCC code,,Utilities,"Internet, TV and Phone"
10195,100028,10000134,28/11/2016,BAC,2400,REASON A M    CD,Transfers / Other,,,17995779,Monthly,,29/12/2015,10195|000053,Segment2_MTG,1,M,1,,,,Credit,REASON A M    CD,,Uncategorized MCC code,Unavailable MCC code,,Unavailable MCC code,,Transfers / Other,
10195,100028,10000134,28/11/2016,D/D,-58.7,IKANO BANK AB,Financial Services,Personal Loans,Ikano Bank,,,,22/01/2016,10195|000069,Segment2_MTG,1,M,1,,,,Debit,IKANO BANK AB,,Uncategorized MCC code,Unavailable MCC code,,Unavailable MCC code,,Financial Services,Personal Loans
10195,100028,10000134,28/11/2016,D/D,-64,SE GAS LIMITED,Utilities,Energy Providers,Southern Electric,17995771,FirstWorkingDay,,01/02/2016,10195|000085,Segment2_MTG,1,M,1,,,,Debit,SE GAS LIMITED,,Uncategorized MCC code,Unavailable MCC code,,Unavailable MCC code,,Utilities,Energy Providers
10195,100028,10000134,28/11/2016,D/D,-64,SE GAS LIMITED,Utilities,Energy Providers,Southern Electric,17995771,FirstWorkingDay,,01/03/2016,10195|000101,Segment2_MTG,1,M,1,,,,Debit,SE GAS LIMITED,,Uncategorized MCC code,Unavailable MCC code,,Unavailable MCC code,,Utilities,Energy Providers
10195,100028,10000134,28/11/2016,DPC,75,CALL REF.NO. 0000,Transfers / Other,Bank Transfer,,,,,18/03/2016,10195|000117,Segment2_MTG,1,M,1,,,,Credit,CALL REF.NO. 0000,,Uncategorized MCC code,Unavailable MCC code,,Unavailable MCC code,,Transfers / Other,Bank Transfer
10195,100028,10000134,28/11/2016,D/D,-37.64,TV LICENCE QBP1,Utilities,TV Licences,TV Licensing,,,,01/09/2016,10195|000252,Segment2_MTG,1,M,1,,,,Debit,TV LICENCE QBP1,,Uncategorized MCC code,Unavailable MCC code,,Unavailable MCC code,,Utilities,TV Licences
10195,100028,10000134,28/11/2016,D/D,-58.7,IKANO BANK AB,Financial Services,Personal Loans,Ikano Bank,17995787,Monthly,,21/09/2016,10195|000268,Segment2_MTG,1,M,1,,,,Debit,IKANO BANK AB,,Uncategorized MCC code,Unavailable MCC code,,Unavailable MCC code,,Financial Services,Personal Loans
10195,100028,10000134,28/11/2016,D/D,-71,SOUTHERN ELECTRIC,Utilities,Energy Providers,Southern Electric,17995786,FirstWorkingDay,,03/10/2016,10195|000284,Segment2_MTG,1,M,1,,,,Debit,SOUTHERN ELECTRIC,,Uncategorized MCC code,Unavailable MCC code,,Unavailable MCC code,,Utilities,Energy Providers
10195,100028,10000134,28/11/2016,C/L  2,-20,ROYAL BANK   03NOV,Cash Machine,,,,,,04/11/2015,10195|000011,Segment2_MTG,1,M,1,,,,Debit,ROYAL BANK   03NOV,,Uncategorized MCC code,Unavailable MCC code,,Unavailable MCC code,,Cash Machine,
10195,100028,10000134,28/11/2016,D/D,-189.61,SHAWBROOK,Financial Services,Personal Loans,Shawbrook,17995775,Monthly,,22/02/2016,10195|000093,Segment2_MTG,1,M,1,,,,Debit,SHAWBROOK,,Uncategorized MCC code,Unavailable MCC code,,Unavailable MCC code,,Financial Services,Personal Loans
10195,100028,10000134,28/11/2016,D/D,-156.25,SKY DIGITAL,Utilities,"Internet, TV and Phone",Sky,17995784,FirstDayOfType,,02/03/2016,10195|000109,Segment2_MTG,1,M,1,,,,Debit,SKY DIGITAL,,Uncategorized MCC code,Unavailable MCC code,,Unavailable MCC code,,Utilities,"Internet, TV and Phone"
10195,100028,10000134,28/11/2016,BAC,2400,REASON A M    CD,Transfers / Other,,,17995779,Monthly,,26/08/2016,10195|000244,Segment2_MTG,1,M,1,,,,Credit,REASON A M    CD,,Uncategorized MCC code,Unavailable MCC code,,Unavailable MCC code,,Transfers / Other,
10195,100028,10000134,28/11/2016,D/D,-53.12,ADMIRAL INSURANCE,Insurance,Motor Insurance,Admiral Insurance,17995770,Monthly,,06/09/2016,10195|000260,Segment2_MTG,1,M,1,,,,Debit,ADMIRAL INSURANCE,,Uncategorized MCC code,Unavailable MCC code,,Unavailable MCC code,,Insurance,Motor Insurance
10195,100028,10000134,28/11/2016,BAC,2400,REASON A M    CD,Transfers / Other,,,17995779,Monthly,,26/09/2016,10195|000276,Segment2_MTG,1,M,1,,,,Credit,REASON A M    CD,,Uncategorized MCC code,Unavailable MCC code,,Unavailable MCC code,,Transfers / Other,
10195,100028,10000134,28/11/2016,DPC,-45.21,ACC-NWESTPLAT,Financial Services,Credit Cards,Natwest CCard,,,,11/10/2016,10195|000292,Segment2_MTG,1,M,1,,,,Debit,ACC-NWESTPLAT,,Uncategorized MCC code,Unavailable MCC code,,Unavailable MCC code,,Financial Services,Credit Cards
10195,100028,10000134,28/11/2016,D/D,-41.95,GRAVESHAM COMMUNIT,Misc Regular Payments,,,,,,02/11/2015,10195|000003,Segment2_MTG,1,M,1,,,,Debit,GRAVESHAM COMMUNIT,,Uncategorized MCC code,Unavailable MCC code,,Unavailable MCC code,,Misc Regular Payments,
10195,100028,10000134,28/11/2016,POS -,-21.87,WH SMITH STANSTED,"Books, Newspapers and Magazines",General Books,W.H.Smith,,,5994,13/11/2015,10195|000019,Segment2_MTG,1,M,1,,,,Debit,WH SMITH STANSTED,5994,Grocery Stores and Supermarkets,"Books, Newspapers and Magazines|Newspapers",NEWS DEALERS AND NEWSSTANDS,"Books, Newspapers and Magazines",Newspapers,"Books, Newspapers and Magazines",General Books
10195,100028,10000134,28/11/2016,BAC,2400,REASON A M    CD,Transfers / Other,,,17995779,Monthly,,26/02/2016,10195|000097,Segment2_MTG,1,M,1,,,,Credit,REASON A M    CD,,Uncategorized MCC code,Unavailable MCC code,,Unavailable MCC code,,Transfers / Other,
10195,100028,10000134,28/11/2016,DPC,-500,CALL REF.NO. 0000,Transfers / Other,Bank Transfer,,,,,07/03/2016,10195|000113,Segment2_MTG,1,M,1,,,,Debit,CALL REF.NO. 0000,,Uncategorized MCC code,Unavailable MCC code,,Unavailable MCC code,,Transfers / Other,Bank Transfer
10195,100028,10000134,28/11/2016,DPC,-500,ACC-NWESTBLACK,Transfers / Other,Bank Transfer,,17995782,FourWeekly,,30/08/2016,10195|000248,Segment2_MTG,1,M,1,,,,Debit,ACC-NWESTBLACK,,Uncategorized MCC code,Unavailable MCC code,,Unavailable MCC code,,Transfers / Other,Bank Transfer
10195,100028,10000134,28/11/2016,DPC,15,CALL REF.NO. 0000,Transfers / Other,Bank Transfer,,,,,12/09/2016,10195|000264,Segment2_MTG,1,M,1,,,,Credit,CALL REF.NO. 0000,,Uncategorized MCC code,Unavailable MCC code,,Unavailable MCC code,,Transfers / Other,Bank Transfer
10195,100028,10000134,28/11/2016,D/D,-59.52,DIRECT LINE INS,Insurance,General Insurance,Direct Line,17995788,FirstWorkingDay,,03/10/2016,10195|000280,Segment2_MTG,1,M,1,,,,Debit,DIRECT LINE INS,,Uncategorized MCC code,Unavailable MCC code,,Unavailable MCC code,,Insurance,General Insurance
10195,100028,10000134,28/11/2016,DPC,-850,CALL REF.NO. 0000,Transfers / Other,Bank Transfer,,,,,02/11/2015,10195|000007,Segment2_MTG,1,M,1,,,,Debit,CALL REF.NO. 0000,,Uncategorized MCC code,Unavailable MCC code,,Unavailable MCC code,,Transfers / Other,Bank Transfer
10195,100028,10000134,28/11/2016,D/D,-50.6,SOUTHERN WATER,Utilities,Water Companies,Southern Water,17995781,FirstWorkingDay,,01/03/2016,10195|000105,Segment2_MTG,1,M,1,,,,Debit,SOUTHERN WATER,,Uncategorized MCC code,Unavailable MCC code,,Unavailable MCC code,,Utilities,Water Companies
10195,100028,10000134,28/11/2016,D/D,-19.05,IKANO BANK AB,Financial Services,Personal Loans,Ikano Bank,,,,29/03/2016,10195|000121,Segment2_MTG,1,M,1,,,,Debit,IKANO BANK AB,,Uncategorized MCC code,Unavailable MCC code,,Unavailable MCC code,,Financial Services,Personal Loans
10195,100028,10000134,28/11/2016,DPC,5,CALL REF.NO. 0000,Transfers / Other,Bank Transfer,,,,,11/08/2016,10195|000236,Segment2_MTG,1,M,1,,,,Credit,CALL REF.NO. 0000,,Uncategorized MCC code,Unavailable MCC code,,Unavailable MCC code,,Transfers / Other,Bank Transfer
10195,100028,10000134,28/11/2016,BAC,557.7,DOCK CLIENT,Identified Salary,,,,,,22/08/2016,10195|000240,Segment2_MTG,1,M,1,,,,Credit,DOCK CLIENT,,Uncategorized MCC code,Unavailable MCC code,,Unavailable MCC code,,Identified Salary,
10195,100028,10000134,28/11/2016,D/D,-43.25,GRAVESHAM COMMUNIT,Misc Regular Payments,,,17995777,FirstWorkingDay,,01/09/2016,10195|000256,Segment2_MTG,1,M,1,,,,Debit,GRAVESHAM COMMUNIT,,Uncategorized MCC code,Unavailable MCC code,,Unavailable MCC code,,Misc Regular Payments,
10195,100028,10000134,28/11/2016,POS -,-113,AMERICAN EXPRESS BRIGHTON,Financial Services,Credit Cards,American Express,,,6012,25/09/2016,10195|000272,Segment2_MTG,1,M,1,,,,Debit,AMERICAN EXPRESS BRIGHTON,6012,Financial Services,Financial Services|,FINANCIAL INSTITUTIONS – MERCHANDISE AND SERVICES,Financial Services,,Financial Services,Credit Cards
10195,100028,10000134,28/11/2016,D/D,-53.12,ADMIRAL INSURANCE,Insurance,Motor Insurance,Admiral Insurance,17995770,Monthly,,06/10/2016,10195|000288,Segment2_MTG,1,M,1,,,,Debit,ADMIRAL INSURANCE,,Uncategorized MCC code,Unavailable MCC code,,Unavailable MCC code,,Insurance,Motor Insurance
10195,100028,10000134,28/11/2016,POS -,-24.35,DISNEY STORE BLUEWATER BLUEWATER,Shopping (Discretionary),Toy Stores,Disney Store,,,5947,08/11/2015,10195|000015,Segment2_MTG,1,M,1,,,,Debit,DISNEY STORE BLUEWATER BLUEWATER,5947,Grocery Stores and Supermarkets,Shopping (Household Essentials)|Gifts Flowers and Parties,"CARD SHOPS, GIFT, NOVELTY, AND SOUVENIR SHOPS",Shopping (Household Essentials),Gifts Flowers and Parties,Shopping (Discretionary),Toy Stores
10195,100028,10000134,28/11/2016,BAC,2400,REASON A M    CD,Transfers / Other,,,,,,26/11/2015,10195|000027,Segment2_MTG,1,M,1,,,,Credit,REASON A M    CD,,Uncategorized MCC code,Unavailable MCC code,,Unavailable MCC code,,Transfers / Other,
10195,100028,10000134,28/11/2016,INT TO,-4.38,22NOV A/C 71549293,Bank Charges and Returns,Interest Charge,,17995774,SecondDayOfType,,11/12/2015,10195|000043,Segment2_MTG,1,M,1,,,,Debit,22NOV A/C 71549293,,Uncategorized MCC code,Unavailable MCC code,,Unavailable MCC code,,Bank Charges and Returns,Interest Charge
10195,100028,10000134,28/11/2016,D/D,-19.05,IKANO BANK AB,Financial Services,Personal Loans,Ikano Bank,17995787,Monthly,,25/10/2016,10195|000306,Segment2_MTG,1,M,1,,,,Debit,IKANO BANK AB,,Uncategorized MCC code,Unavailable MCC code,,Unavailable MCC code,,Financial Services,Personal Loans
10195,100028,10000134,28/11/2016,S/O,-40,GARDENER,Misc Regular Payments,,,,,,13/06/2016,10195|000187,Segment2_MTG,1,M,1,,,,Debit,GARDENER,,Uncategorized MCC code,Unavailable MCC code,,Unavailable MCC code,,Misc Regular Payments,
10195,100028,10000134,28/11/2016,D/D,-23.99,BT GROUP PLC,Utilities,"Internet, TV and Phone",BT,17995780,Monthly,,23/06/2016,10195|000191,Segment2_MTG,1,M,1,,,,Debit,BT GROUP PLC,,Uncategorized MCC code,Unavailable MCC code,,Unavailable MCC code,,Utilities,"Internet, TV and Phone"
10195,100028,10000134,28/11/2016,POS -,-62.1,THE RURAL RETREAT GRAVESEND,Misc Card Spend,,,,,7230,09/07/2016,10195|000207,Segment2_MTG,1,M,1,,,,Debit,THE RURAL RETREAT GRAVESEND,7230,Health and Beauty Products,Personal Healthcare|Skin and Hair Care,BARBER AND BEAUTY SHOPS,Personal Healthcare,Skin and Hair Care,Personal Healthcare,Skin and Hair Care
10195,100028,10000134,28/11/2016,D/D,-1219.46,HALIFAX,Rent and Mortgage,Banks And Building Societies,Halifax,17995772,FirstWorkingDay,,01/12/2015,10195|000035,Segment2_MTG,1,M,1,,,,Debit,HALIFAX,,Uncategorized MCC code,Unavailable MCC code,,Unavailable MCC code,,Rent and Mortgage,Banks And Building Societies
10195,100028,10000134,28/11/2016,DPC,-800,CALL REF.NO. 0000,Transfers / Other,Bank Transfer,,,,,17/10/2016,10195|000298,Segment2_MTG,1,M,1,,,,Debit,CALL REF.NO. 0000,,Uncategorized MCC code,Unavailable MCC code,,Unavailable MCC code,,Transfers / Other,Bank Transfer
10195,100028,10000134,28/11/2016,D/D,-43.25,GRAVESHAM COMMUNIT,Misc Regular Payments,,,17995777,FirstWorkingDay,,01/06/2016,10195|000179,Segment2_MTG,1,M,1,,,,Debit,GRAVESHAM COMMUNIT,,Uncategorized MCC code,Unavailable MCC code,,Unavailable MCC code,,Misc Regular Payments,
10195,100028,10000134,28/11/2016,D/D,-64,SE GAS LIMITED,Utilities,Energy Providers,Southern Electric,17995771,FirstWorkingDay,,01/07/2016,10195|000199,Segment2_MTG,1,M,1,,,,Debit,SE GAS LIMITED,,Uncategorized MCC code,Unavailable MCC code,,Unavailable MCC code,,Utilities,Energy Providers
10195,100028,10000134,28/11/2016,DPC,60,CALL REF.NO. 0000,Transfers / Other,Bank Transfer,,,,,23/11/2015,10195|000023,Segment2_MTG,1,M,1,,,,Credit,CALL REF.NO. 0000,,Uncategorized MCC code,Unavailable MCC code,,Unavailable MCC code,,Transfers / Other,Bank Transfer
10195,100028,10000134,28/11/2016,POS -,-105,AMERICAN EXPRESS BRIGHTON,Financial Services,Credit Cards,American Express,,,6012,03/12/2015,10195|000039,Segment2_MTG,1,M,1,,,,Debit,AMERICAN EXPRESS BRIGHTON,6012,Financial Services,Financial Services|,FINANCIAL INSTITUTIONS – MERCHANDISE AND SERVICES,Financial Services,,Financial Services,Credit Cards
